"AU","Season","Samples","type","Assessment"
"AR_08040101_4062","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_4063","ELA",1,"Chronic","Not Enough Information"
"AR_08040101_4063","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_501","ELP",3,"Chronic","Not Enough Information"
"AR_08040101_636","ELP",4,"Chronic","Not Enough Information"
"AR_08040101_801","ELP",3,"Chronic","Not Enough Information"
"AR_08040101_836","ELP",4,"Chronic","Not Enough Information"
"AR_08040101_838","ELP",5,"Chronic","Not Enough Information"
"AR_08040101_848","ELA",13,"Chronic","ATTAIN"
"AR_08040101_848","ELP",20,"Chronic","ATTAIN"
"AR_08040101_906","ELP",3,"Chronic","Not Enough Information"
"AR_08040101_907","ELA",1,"Chronic","Not Enough Information"
"AR_08040101_907","ELP",3,"Chronic","Not Enough Information"
"AR_08040101_909","ELP",3,"Chronic","Not Enough Information"
"AR_08040101_920","ELP",4,"Chronic","Not Enough Information"
"AR_08040101_929","ELP",4,"Chronic","Not Enough Information"
"AR_08040102_003","ELA",11,"Chronic","ATTAIN"
"AR_08040102_003","ELP",14,"Chronic","ATTAIN"
"AR_08040102_006","ELA",14,"Chronic","ATTAIN"
"AR_08040102_006","ELP",18,"Chronic","ATTAIN"
"AR_08040102_007","ELA",12,"Chronic","ATTAIN"
"AR_08040102_007","ELP",18,"Chronic","ATTAIN"
"AR_08040102_011","ELA",2,"Chronic","Not Enough Information"
"AR_08040102_016","ELA",14,"Chronic","ATTAIN"
"AR_08040102_016","ELP",18,"Chronic","ATTAIN"
"AR_08040102_021","ELP",4,"Chronic","Not Enough Information"
"AR_08040102_023","ELA",14,"Chronic","ATTAIN"
"AR_08040102_023","ELP",18,"Chronic","ATTAIN"
"AR_08040102_027","ELA",10,"Chronic","ATTAIN"
"AR_08040102_027","ELP",14,"Chronic","ATTAIN"
"AR_08040102_4040","ELA",1,"Chronic","Not Enough Information"
"AR_08040102_4040","ELP",3,"Chronic","Not Enough Information"
"AR_08040102_4041","ELA",1,"Chronic","Not Enough Information"
"AR_08040102_4041","ELP",4,"Chronic","Not Enough Information"
"AR_08040102_706","ELA",11,"Chronic","ATTAIN"
"AR_08040102_706","ELP",14,"Chronic","ATTAIN"
"AR_08040102_721","ELP",4,"Chronic","Not Enough Information"
"AR_08040102_807","ELA",11,"Chronic","ATTAIN"
"AR_08040102_807","ELP",12,"Chronic","ATTAIN"
"AR_08040102_821","ELP",4,"Chronic","Not Enough Information"
"AR_08040102_902","ELA",10,"Chronic","ATTAIN"
"AR_08040102_902","ELP",14,"Chronic","ATTAIN"
"AR_08040102_904","ELA",9,"Chronic","Not Enough Information"
"AR_08040102_904","ELP",13,"Chronic","ATTAIN"
"AR_08040102_923","ELA",14,"Chronic","ATTAIN"
"AR_08040102_923","ELP",18,"Chronic","ATTAIN"
"AR_08040102_925","ELP",4,"Chronic","Not Enough Information"
"AR_08040102_929","ELA",10,"Chronic","ATTAIN"
"AR_08040102_929","ELP",14,"Chronic","ATTAIN"
"AR_08040102_970","ELA",13,"Chronic","ATTAIN"
"AR_08040102_970","ELP",18,"Chronic","ATTAIN"
"AR_08040102_971","ELP",1,"Chronic","Not Enough Information"
"AR_08040102_972","ELP",1,"Chronic","Not Enough Information"
"AR_08040102_973","ELP",1,"Chronic","Not Enough Information"
"AR_08040102_976","ELP",1,"Chronic","Not Enough Information"
"AR_08040103_003","ELA",11,"Chronic","ATTAIN"
"AR_08040103_003","ELP",14,"Chronic","ATTAIN"
"AR_08040103_008","ELA",14,"Chronic","ATTAIN"
"AR_08040103_008","ELP",16,"Chronic","ATTAIN"
"AR_08040103_015","ELA",14,"Chronic","ATTAIN"
"AR_08040103_015","ELP",18,"Chronic","ATTAIN"
"AR_08040103_016","ELA",10,"Chronic","ATTAIN"
"AR_08040103_016","ELP",12,"Chronic","ATTAIN"
"AR_08040103_022","ELA",12,"Chronic","ATTAIN"
"AR_08040103_022","ELP",18,"Chronic","ATTAIN"
"AR_08040103_023","ELP",4,"Chronic","Not Enough Information"
"AR_08040103_028","ELA",11,"Chronic","ATTAIN"
"AR_08040103_028","ELP",14,"Chronic","ATTAIN"
"AR_08040103_029","ELA",11,"Chronic","ATTAIN"
"AR_08040103_029","ELP",14,"Chronic","ATTAIN"
"AR_08040103_033","ELA",10,"Chronic","ATTAIN"
"AR_08040103_033","ELP",14,"Chronic","ATTAIN"
"AR_08040103_035","ELA",8,"Chronic","Not Enough Information"
"AR_08040103_035","ELP",13,"Chronic","ATTAIN"
"AR_08040103_4020","ELP",1,"Chronic","Not Enough Information"
"AR_08040103_4030","ELA",1,"Chronic","Not Enough Information"
"AR_08040103_4030","ELP",3,"Chronic","Not Enough Information"
"AR_08040103_4031","ELA",1,"Chronic","Not Enough Information"
"AR_08040103_4031","ELP",4,"Chronic","Not Enough Information"
"AR_08040103_733","ELA",10,"Chronic","ATTAIN"
"AR_08040103_733","ELP",10,"Chronic","ATTAIN"
"AR_08040103_802","ELA",10,"Chronic","ATTAIN"
"AR_08040103_802","ELP",14,"Chronic","ATTAIN"
"AR_08040103_808","ELA",11,"Chronic","ATTAIN"
"AR_08040103_808","ELP",13,"Chronic","ATTAIN"
"AR_08040103_833","ELA",11,"Chronic","ATTAIN"
"AR_08040103_833","ELP",14,"Chronic","ATTAIN"
"AR_08040103_902","ELA",10,"Chronic","ATTAIN"
"AR_08040103_905","ELA",9,"Chronic","Not Enough Information"
"AR_08040103_905","ELP",14,"Chronic","ATTAIN"
"AR_08040103_908","ELA",9,"Chronic","Not Enough Information"
"AR_08040103_908","ELP",13,"Chronic","ATTAIN"
"AR_08040103_923","ELP",4,"Chronic","Not Enough Information"
"AR_08040103_933","ELA",10,"Chronic","ATTAIN"
"AR_08040103_933","ELP",14,"Chronic","ATTAIN"
"AR_08040103_937","ELA",10,"Chronic","ATTAIN"
"AR_08040103_937","ELP",14,"Chronic","ATTAIN"
"AR_08040201_001","ELA",14,"Chronic","ATTAIN"
"AR_08040201_001","ELP",16,"Chronic","ATTAIN"
"AR_08040201_005","ELA",6,"Chronic","Not Enough Information"
"AR_08040201_005","ELP",11,"Chronic","ATTAIN"
"AR_08040201_007","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_201","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_301","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_306","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_401","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_406","ELA",13,"Chronic","ATTAIN"
"AR_08040201_406","ELP",18,"Chronic","ATTAIN"
"AR_08040201_505","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_701","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_705","ELA",9,"Chronic","Not Enough Information"
"AR_08040201_705","ELP",14,"Chronic","ATTAIN"
"AR_08040201_902","ELA",2,"Chronic","Not Enough Information"
"AR_08040201_905","ELA",15,"Chronic","ATTAIN"
"AR_08040201_905","ELP",11,"Chronic","ATTAIN"
"AR_08040201_910","ELA",14,"Chronic","ATTAIN"
"AR_08040202_002","ELA",13,"Chronic","ATTAIN"
"AR_08040202_002","ELP",12,"Chronic","ATTAIN"
"AR_08040202_004","ELA",5,"Chronic","Not Enough Information"
"AR_08040202_004","ELP",11,"Chronic","ATTAIN"
"AR_08040202_006","ELA",13,"Chronic","ATTAIN"
"AR_08040202_006","ELP",16,"Chronic","ATTAIN"
"AR_08040202_803","ELA",1,"Chronic","Not Enough Information"
"AR_08040202_805","ELA",1,"Chronic","Not Enough Information"
"AR_08040202_806","ELA",1,"Chronic","Not Enough Information"
"AR_08040203_007","ELA",11,"Chronic","ATTAIN"
"AR_08040203_007","ELP",14,"Chronic","ATTAIN"
"AR_08040203_008","ELA",11,"Chronic","ATTAIN"
"AR_08040203_008","ELP",14,"Chronic","ATTAIN"
"AR_08040203_011","ELA",12,"Chronic","ATTAIN"
"AR_08040203_011","ELP",15,"Chronic","ATTAIN"
"AR_08040203_014","ELP",3,"Chronic","Not Enough Information"
"AR_08040203_019","ELA",12,"Chronic","ATTAIN"
"AR_08040203_019","ELP",15,"Chronic","ATTAIN"
"AR_08040203_020","ELA",12,"Chronic","ATTAIN"
"AR_08040203_020","ELP",15,"Chronic","ATTAIN"
"AR_08040203_021","ELP",3,"Chronic","Not Enough Information"
"AR_08040203_022","ELP",3,"Chronic","Not Enough Information"
"AR_08040203_410","ELA",8,"Chronic","Not Enough Information"
"AR_08040203_410","ELP",14,"Chronic","ATTAIN"
"AR_08040203_4110","ELA",2,"Chronic","Not Enough Information"
"AR_08040203_4110","ELP",1,"Chronic","Not Enough Information"
"AR_08040203_610","ELA",11,"Chronic","ATTAIN"
"AR_08040203_610","ELP",14,"Chronic","ATTAIN"
"AR_08040203_611","ELP",2,"Chronic","Not Enough Information"
"AR_08040203_706","ELA",12,"Chronic","ATTAIN"
"AR_08040203_706","ELP",15,"Chronic","ATTAIN"
"AR_08040203_714","ELA",11,"Chronic","ATTAIN"
"AR_08040203_714","ELP",14,"Chronic","ATTAIN"
"AR_08040203_804","ELA",8,"Chronic","Not Enough Information"
"AR_08040203_804","ELP",10,"Chronic","ATTAIN"
"AR_08040203_813","ELA",11,"Chronic","ATTAIN"
"AR_08040203_813","ELP",14,"Chronic","ATTAIN"
"AR_08040203_824","ELP",1,"Chronic","Not Enough Information"
"AR_08040203_902","ELA",2,"Chronic","Not Enough Information"
"AR_08040203_904","ELA",14,"Chronic","ATTAIN"
"AR_08040203_904","ELP",11,"Chronic","ATTAIN"
"AR_08040203_907","ELA",2,"Chronic","Not Enough Information"
"AR_08040203_913","ELA",9,"Chronic","Not Enough Information"
"AR_08040203_913","ELP",15,"Chronic","ATTAIN"
"AR_08040203_922","ELP",2,"Chronic","Not Enough Information"
"AR_08040203_924","ELP",1,"Chronic","Not Enough Information"
"AR_08040204_002","ELA",12,"Chronic","ATTAIN"
"AR_08040204_002","ELP",13,"Chronic","ATTAIN"
"AR_08040204_005","ELA",15,"Chronic","ATTAIN"
"AR_08040204_005","ELP",13,"Chronic","ATTAIN"
"AR_08040204_006","ELA",10,"Chronic","ATTAIN"
"AR_08040204_006","ELP",11,"Chronic","ATTAIN"
"AR_08040204_602","ELA",2,"Chronic","Not Enough Information"
"AR_08040204_702","ELA",1,"Chronic","Not Enough Information"
"AR_08040204_707","ELA",2,"Chronic","Not Enough Information"
"AR_08040204_807","ELA",2,"Chronic","Not Enough Information"
"AR_08040204_906","ELA",2,"Chronic","Not Enough Information"
"AR_08040204_907","ELA",2,"Chronic","Not Enough Information"
"AR_08040205_001","ELA",13,"Chronic","ATTAIN"
"AR_08040205_001","ELP",15,"Chronic","ATTAIN"
"AR_08040205_013","ELA",14,"Chronic","ATTAIN"
"AR_08040205_013","ELP",15,"Chronic","ATTAIN"
"AR_08040205_4020","ELA",1,"Chronic","Not Enough Information"
"AR_08040205_703","ELA",2,"Chronic","Not Enough Information"
"AR_08040205_707","ELA",1,"Chronic","Not Enough Information"
"AR_08040205_711","ELA",2,"Chronic","Not Enough Information"
"AR_08040205_813","ELA",2,"Chronic","Not Enough Information"
"AR_08040205_906","ELA",2,"Chronic","Not Enough Information"
"AR_08040205_907","ELA",1,"Chronic","Not Enough Information"
"AR_08040206_002","ELA",2,"Chronic","Not Enough Information"
"AR_08040206_015","ELA",13,"Chronic","ATTAIN"
"AR_08040206_015","ELP",16,"Chronic","ATTAIN"
"AR_08040206_902","ELA",2,"Chronic","Not Enough Information"
"AR_08050001_018","ELA",13,"Chronic","ATTAIN"
"AR_08050001_018","ELP",10,"Chronic","ATTAIN"
"AR_08050002_4010","ELA",1,"Chronic","Not Enough Information"
"AR_08050002_4011","ELA",1,"Chronic","Not Enough Information"
"AR_08050002_4011","ELP",10,"Chronic","ATTAIN"
"AR_11010001_023","ELA",11,"Chronic","ATTAIN"
"AR_11010001_023","ELP",20,"Chronic","ATTAIN"
"AR_11010001_024","ELA",14,"Chronic","ATTAIN"
"AR_11010001_024","ELP",21,"Chronic","ATTAIN"
"AR_11010001_025","ELA",5,"Chronic","Not Enough Information"
"AR_11010001_025","ELP",6,"Chronic","Not Enough Information"
"AR_11010001_026","ELA",14,"Chronic","ATTAIN"
"AR_11010001_026","ELP",21,"Chronic","ATTAIN"
"AR_11010001_027","ELA",11,"Chronic","ATTAIN"
"AR_11010001_027","ELP",20,"Chronic","ATTAIN"
"AR_11010001_034","ELA",11,"Chronic","ATTAIN"
"AR_11010001_034","ELP",19,"Chronic","ATTAIN"
"AR_11010001_035","ELA",11,"Chronic","ATTAIN"
"AR_11010001_035","ELP",20,"Chronic","ATTAIN"
"AR_11010001_037","ELA",11,"Chronic","ATTAIN"
"AR_11010001_037","ELP",20,"Chronic","ATTAIN"
"AR_11010001_042","ELA",11,"Chronic","ATTAIN"
"AR_11010001_042","ELP",19,"Chronic","ATTAIN"
"AR_11010001_045","ELA",7,"Chronic","Not Enough Information"
"AR_11010001_045","ELP",14,"Chronic","ATTAIN"
"AR_11010001_054","ELA",11,"Chronic","ATTAIN"
"AR_11010001_054","ELP",20,"Chronic","ATTAIN"
"AR_11010001_060","ELA",11,"Chronic","ATTAIN"
"AR_11010001_060","ELP",20,"Chronic","ATTAIN"
"AR_11010001_061","ELA",11,"Chronic","ATTAIN"
"AR_11010001_061","ELP",20,"Chronic","ATTAIN"
"AR_11010001_4030","ELA",3,"Chronic","Not Enough Information"
"AR_11010001_4030","ELP",2,"Chronic","Not Enough Information"
"AR_11010001_4042","ELA",2,"Chronic","Not Enough Information"
"AR_11010001_4042","ELP",3,"Chronic","Not Enough Information"
"AR_11010001_4043","ELA",2,"Chronic","Not Enough Information"
"AR_11010001_4043","ELP",2,"Chronic","Not Enough Information"
"AR_11010001_4045","ELA",2,"Chronic","Not Enough Information"
"AR_11010001_4045","ELP",2,"Chronic","Not Enough Information"
"AR_11010001_4050","ELA",1,"Chronic","Not Enough Information"
"AR_11010001_4050","ELP",1,"Chronic","Not Enough Information"
"AR_11010001_659","ELA",11,"Chronic","ATTAIN"
"AR_11010001_659","ELP",19,"Chronic","ATTAIN"
"AR_11010001_816","ELA",9,"Chronic","Not Enough Information"
"AR_11010001_816","ELP",16,"Chronic","ATTAIN"
"AR_11010001_823","ELA",14,"Chronic","ATTAIN"
"AR_11010001_823","ELP",21,"Chronic","ATTAIN"
"AR_11010001_834","ELA",11,"Chronic","ATTAIN"
"AR_11010001_834","ELP",20,"Chronic","ATTAIN"
"AR_11010001_925","ELA",10,"Chronic","ATTAIN"
"AR_11010001_925","ELP",19,"Chronic","ATTAIN"
"AR_11010001_945","ELA",10,"Chronic","ATTAIN"
"AR_11010001_945","ELP",20,"Chronic","ATTAIN"
"AR_11010003_048","ELA",10,"Chronic","ATTAIN"
"AR_11010003_048","ELP",12,"Chronic","ATTAIN"
"AR_11010003_4010","ELA",2,"Chronic","Not Enough Information"
"AR_11010003_4010","ELP",4,"Chronic","Not Enough Information"
"AR_11010003_4011","ELA",2,"Chronic","Not Enough Information"
"AR_11010003_4011","ELP",4,"Chronic","Not Enough Information"
"AR_11010003_749","ELA",11,"Chronic","ATTAIN"
"AR_11010003_749","ELP",20,"Chronic","ATTAIN"
"AR_11010003_948","ELA",11,"Chronic","ATTAIN"
"AR_11010003_948","ELP",17,"Chronic","ATTAIN"
"AR_11010003_949","ELA",11,"Chronic","ATTAIN"
"AR_11010003_949","ELP",21,"Chronic","ATTAIN"
"AR_11010004_001","ELA",11,"Chronic","ATTAIN"
"AR_11010004_001","ELP",16,"Chronic","ATTAIN"
"AR_11010004_010","ELA",13,"Chronic","ATTAIN"
"AR_11010004_010","ELP",21,"Chronic","ATTAIN"
"AR_11010004_014","ELA",7,"Chronic","Not Enough Information"
"AR_11010004_014","ELP",14,"Chronic","ATTAIN"
"AR_11010004_015","ELA",13,"Chronic","ATTAIN"
"AR_11010004_015","ELP",21,"Chronic","ATTAIN"
"AR_11010005_001","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_001","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_003","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_003","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_004","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_004","ELP",4,"Chronic","Not Enough Information"
"AR_11010005_005","ELA",12,"Chronic","ATTAIN"
"AR_11010005_005","ELP",18,"Chronic","ATTAIN"
"AR_11010005_006","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_006","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_009","ELA",5,"Chronic","Not Enough Information"
"AR_11010005_009","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_011","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_011","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_012","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_012","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_013","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_013","ELP",4,"Chronic","Not Enough Information"
"AR_11010005_014","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_014","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_015","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_015","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_020","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_020","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_023","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_023","ELP",8,"Chronic","Not Enough Information"
"AR_11010005_024","ELA",2,"Chronic","Not Enough Information"
"AR_11010005_024","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_025","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_025","ELP",7,"Chronic","Not Enough Information"
"AR_11010005_026","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_026","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_027","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_027","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_604","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_604","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_704","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_704","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_712","ELP",1,"Chronic","Not Enough Information"
"AR_11010005_801","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_801","ELP",5,"Chronic","Not Enough Information"
"AR_11010005_804","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_804","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_812","ELA",4,"Chronic","Not Enough Information"
"AR_11010005_812","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_901","ELA",3,"Chronic","Not Enough Information"
"AR_11010005_901","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_904","ELA",5,"Chronic","Not Enough Information"
"AR_11010005_904","ELP",6,"Chronic","Not Enough Information"
"AR_11010005_906","ELA",2,"Chronic","Not Enough Information"
"AR_11010005_906","ELP",7,"Chronic","Not Enough Information"
"AR_11010005_911","ELA",2,"Chronic","Not Enough Information"
"AR_11010005_911","ELP",9,"Chronic","Not Enough Information"
"AR_11010005_912","ELA",9,"Chronic","Not Enough Information"
"AR_11010005_912","ELP",18,"Chronic","ATTAIN"
"AR_11010006_001","ELA",13,"Chronic","ATTAIN"
"AR_11010006_001","ELP",21,"Chronic","ATTAIN"
"AR_11010006_4010","ELA",2,"Chronic","Not Enough Information"
"AR_11010006_4010","ELP",3,"Chronic","Not Enough Information"
"AR_11010006_4011","ELA",2,"Chronic","Not Enough Information"
"AR_11010006_4011","ELP",4,"Chronic","Not Enough Information"
"AR_11010007_002","ELA",13,"Chronic","ATTAIN"
"AR_11010007_002","ELP",19,"Chronic","ATTAIN"
"AR_11010008_001","ELA",13,"Chronic","ATTAIN"
"AR_11010008_001","ELP",20,"Chronic","ATTAIN"
"AR_11010009_005","ELA",13,"Chronic","ATTAIN"
"AR_11010009_005","ELP",20,"Chronic","ATTAIN"
"AR_11010009_4040","ELA",2,"Chronic","Not Enough Information"
"AR_11010010_003","ELA",13,"Chronic","ATTAIN"
"AR_11010010_003","ELP",20,"Chronic","ATTAIN"
"AR_11010010_005","ELA",13,"Chronic","ATTAIN"
"AR_11010010_005","ELP",21,"Chronic","ATTAIN"
"AR_11010010_006","ELA",13,"Chronic","ATTAIN"
"AR_11010010_006","ELP",21,"Chronic","ATTAIN"
"AR_11010010_012","ELA",13,"Chronic","ATTAIN"
"AR_11010010_012","ELP",21,"Chronic","ATTAIN"
"AR_11010010_808","ELA",13,"Chronic","ATTAIN"
"AR_11010010_808","ELP",18,"Chronic","ATTAIN"
"AR_11010011_001","ELA",13,"Chronic","ATTAIN"
"AR_11010011_001","ELP",20,"Chronic","ATTAIN"
"AR_11010012_006","ELA",13,"Chronic","ATTAIN"
"AR_11010012_006","ELP",20,"Chronic","ATTAIN"
"AR_11010013_005","ELA",11,"Chronic","ATTAIN"
"AR_11010013_005","ELP",16,"Chronic","ATTAIN"
"AR_11010014_007","ELA",11,"Chronic","ATTAIN"
"AR_11010014_007","ELP",16,"Chronic","ATTAIN"
"AR_11010014_028","ELA",13,"Chronic","ATTAIN"
"AR_11010014_028","ELP",19,"Chronic","ATTAIN"
"AR_11010014_036","ELA",11,"Chronic","ATTAIN"
"AR_11010014_036","ELP",16,"Chronic","ATTAIN"
"AR_11010014_4020","ELA",2,"Chronic","Not Enough Information"
"AR_11010014_4020","ELP",3,"Chronic","Not Enough Information"
"AR_11010014_4021","ELA",2,"Chronic","Not Enough Information"
"AR_11010014_4021","ELP",4,"Chronic","Not Enough Information"
"AR_11070208_003","ELA",12,"Chronic","ATTAIN"
"AR_11070208_003","ELP",15,"Chronic","ATTAIN"
"AR_11070208_903","ELA",12,"Chronic","ATTAIN"
"AR_11070208_903","ELP",18,"Chronic","ATTAIN"
"AR_11070209_048","ELA",12,"Chronic","ATTAIN"
"AR_11070209_048","ELP",17,"Chronic","ATTAIN"
"AR_11110103_020","ELA",11,"Chronic","ATTAIN"
"AR_11110103_020","ELP",18,"Chronic","ATTAIN"
"AR_11110103_021","ELA",9,"Chronic","Not Enough Information"
"AR_11110103_021","ELP",18,"Chronic","ATTAIN"
"AR_11110103_024","ELA",12,"Chronic","ATTAIN"
"AR_11110103_024","ELP",16,"Chronic","ATTAIN"
"AR_11110103_029","ELA",11,"Chronic","ATTAIN"
"AR_11110103_029","ELP",19,"Chronic","ATTAIN"
"AR_11110103_030","ELA",11,"Chronic","ATTAIN"
"AR_11110103_030","ELP",19,"Chronic","ATTAIN"
"AR_11110103_031","ELA",12,"Chronic","ATTAIN"
"AR_11110103_031","ELP",15,"Chronic","ATTAIN"
"AR_11110103_4080","ELA",3,"Chronic","Not Enough Information"
"AR_11110103_4080","ELP",2,"Chronic","Not Enough Information"
"AR_11110103_730","ELA",12,"Chronic","ATTAIN"
"AR_11110103_730","ELP",18,"Chronic","ATTAIN"
"AR_11110103_733","ELP",6,"Chronic","Not Enough Information"
"AR_11110103_813","ELA",12,"Chronic","ATTAIN"
"AR_11110103_813","ELP",18,"Chronic","ATTAIN"
"AR_11110103_932","ELA",12,"Chronic","ATTAIN"
"AR_11110103_932","ELP",15,"Chronic","ATTAIN"
"AR_11110104_001","ELA",12,"Chronic","ATTAIN"
"AR_11110104_001","ELP",19,"Chronic","ATTAIN"
"AR_11110104_013","ELA",9,"Chronic","Not Enough Information"
"AR_11110104_013","ELP",20,"Chronic","ATTAIN"
"AR_11110104_4020","ELA",3,"Chronic","Not Enough Information"
"AR_11110104_4020","ELP",2,"Chronic","Not Enough Information"
"AR_11110105_001","ELA",10,"Chronic","ATTAIN"
"AR_11110105_001","ELP",15,"Chronic","ATTAIN"
"AR_11110105_031","ELA",12,"Chronic","ATTAIN"
"AR_11110105_031","ELP",19,"Chronic","ATTAIN"
"AR_11110105_033","ELA",12,"Chronic","ATTAIN"
"AR_11110105_033","ELP",19,"Chronic","ATTAIN"
"AR_11110105_731","ELA",12,"Chronic","ATTAIN"
"AR_11110105_731","ELP",20,"Chronic","ATTAIN"
"AR_11110105_925","ELP",2,"Chronic","Not Enough Information"
"AR_11110201_006","ELA",12,"Chronic","ATTAIN"
"AR_11110201_006","ELP",19,"Chronic","ATTAIN"
"AR_11110201_4030","ELA",1,"Chronic","Not Enough Information"
"AR_11110201_4030","ELP",2,"Chronic","Not Enough Information"
"AR_11110201_4070","ELA",2,"Chronic","Not Enough Information"
"AR_11110201_4070","ELP",2,"Chronic","Not Enough Information"
"AR_11110201_4071","ELA",2,"Chronic","Not Enough Information"
"AR_11110201_4071","ELP",2,"Chronic","Not Enough Information"
"AR_11110201_923","ELP",2,"Chronic","Not Enough Information"
"AR_11110202_011","ELA",12,"Chronic","ATTAIN"
"AR_11110202_011","ELP",19,"Chronic","ATTAIN"
"AR_11110202_043","ELA",12,"Chronic","ATTAIN"
"AR_11110202_043","ELP",19,"Chronic","ATTAIN"
"AR_11110202_4050","ELA",3,"Chronic","Not Enough Information"
"AR_11110202_4050","ELP",2,"Chronic","Not Enough Information"
"AR_11110202_919","ELA",13,"Chronic","ATTAIN"
"AR_11110202_919","ELP",17,"Chronic","ATTAIN"
"AR_11110203_009","ELA",13,"Chronic","ATTAIN"
"AR_11110203_009","ELP",17,"Chronic","ATTAIN"
"AR_11110203_018","ELA",13,"Chronic","ATTAIN"
"AR_11110203_018","ELP",19,"Chronic","ATTAIN"
"AR_11110203_027","ELA",12,"Chronic","ATTAIN"
"AR_11110203_027","ELP",15,"Chronic","ATTAIN"
"AR_11110203_4020","ELA",2,"Chronic","Not Enough Information"
"AR_11110203_4020","ELP",3,"Chronic","Not Enough Information"
"AR_11110203_4030","ELA",4,"Chronic","Not Enough Information"
"AR_11110203_4030","ELP",6,"Chronic","Not Enough Information"
"AR_11110203_4061","ELA",2,"Chronic","Not Enough Information"
"AR_11110203_4061","ELP",11,"Chronic","ATTAIN"
"AR_11110203_904","ELA",11,"Chronic","ATTAIN"
"AR_11110203_904","ELP",18,"Chronic","ATTAIN"
"AR_11110203_918","ELA",13,"Chronic","ATTAIN"
"AR_11110203_918","ELP",18,"Chronic","ATTAIN"
"AR_11110203_927","ELA",13,"Chronic","ATTAIN"
"AR_11110203_927","ELP",15,"Chronic","ATTAIN"
"AR_11110203_931","ELA",13,"Chronic","ATTAIN"
"AR_11110203_931","ELP",20,"Chronic","ATTAIN"
"AR_11110203_932","ELA",13,"Chronic","ATTAIN"
"AR_11110203_932","ELP",18,"Chronic","ATTAIN"
"AR_11110204_002","ELA",13,"Chronic","ATTAIN"
"AR_11110204_002","ELP",13,"Chronic","ATTAIN"
"AR_11110204_011","ELA",11,"Chronic","ATTAIN"
"AR_11110204_011","ELP",19,"Chronic","ATTAIN"
"AR_11110204_015","ELA",12,"Chronic","ATTAIN"
"AR_11110204_015","ELP",20,"Chronic","ATTAIN"
"AR_11110204_4060","ELA",1,"Chronic","Not Enough Information"
"AR_11110204_4060","ELP",4,"Chronic","Not Enough Information"
"AR_11110204_4061","ELA",2,"Chronic","Not Enough Information"
"AR_11110204_4061","ELP",12,"Chronic","ATTAIN"
"AR_11110205_002","ELA",11,"Chronic","ATTAIN"
"AR_11110205_002","ELP",16,"Chronic","ATTAIN"
"AR_11110205_005","ELA",13,"Chronic","ATTAIN"
"AR_11110205_005","ELP",18,"Chronic","ATTAIN"
"AR_11110205_013","ELA",10,"Chronic","ATTAIN"
"AR_11110205_013","ELP",18,"Chronic","ATTAIN"
"AR_11110205_014","ELA",13,"Chronic","ATTAIN"
"AR_11110205_014","ELP",18,"Chronic","ATTAIN"
"AR_11110205_015","ELA",13,"Chronic","ATTAIN"
"AR_11110205_015","ELP",16,"Chronic","ATTAIN"
